contig_id	original_length	breakpoint	action	reason	confidence	new_contigs	new_lengths
contig_001	3275	870	split	Technical artifact (confidence: 1.00)	1.0	contig_001_split_A;contig_001_split_B	870;2405
contig_002	5196	326	preserve	Technical artifact (confidence: 1.00) (split contigs too short)	1.0	contig_002	5196
contig_003	5030	192	preserve	Technical artifact (confidence: 1.00) (split contigs too short)	1.0	contig_003	5030
contig_005	2414	334	preserve	Technical artifact (confidence: 1.00) (split contigs too short)	1.0	contig_005	2414
contig_006	2543	2336	preserve	Technical artifact (confidence: 0.80) (split contigs too short)	0.8	contig_006	2543
contig_007	3500	300	preserve	Technical artifact (confidence: 1.00) (split contigs too short)	1.0	contig_007	3500
contig_008	4130	268	preserve	Technical artifact (confidence: 0.80) (split contigs too short)	0.8	contig_008	4130
contig_009	6247	3979	split	Technical artifact (confidence: 1.00)	1.0	contig_009_split_A;contig_009_split_B	3979;2268
contig_010	4931	1818	split	Technical artifact (confidence: 0.80)	0.8	contig_010_split_A;contig_010_split_B	1818;3113
contig_011	4762	4470	preserve	Technical artifact (confidence: 0.80) (split contigs too short)	0.8	contig_011	4762
contig_012	6683	330	preserve	Technical artifact (confidence: 1.00) (split contigs too short)	1.0	contig_012	6683
contig_014	3762	3558	preserve	Technical artifact (confidence: 1.00) (split contigs too short)	1.0	contig_014	3762
contig_015	5215	312	preserve	Technical artifact (confidence: 1.00) (split contigs too short)	1.0	contig_015	5215
contig_016	4481	3656	split	Technical artifact (confidence: 1.00)	1.0	contig_016_split_A;contig_016_split_B	3656;825
contig_017	4284	4023	preserve	Technical artifact (confidence: 0.80) (split contigs too short)	0.8	contig_017	4284
contig_018	5406	5128	preserve	Technical artifact (confidence: 1.00) (split contigs too short)	1.0	contig_018	5406
contig_019	3248	2999	preserve	Technical artifact (confidence: 0.80) (split contigs too short)	0.8	contig_019	3248
chimeric_001	3000	2845	preserve	Technical artifact (confidence: 1.00) (split contigs too short)	1.0	chimeric_001	3000
chimeric_002	3000	2454	split	Technical artifact (confidence: 0.80)	0.8	chimeric_002_split_A;chimeric_002_split_B	2454;546
chimeric_003	3000	1191	split	Technical artifact (confidence: 1.00)	1.0	chimeric_003_split_A;chimeric_003_split_B	1191;1809
chimeric_004	3000	1613	split	Technical artifact (confidence: 1.00)	1.0	chimeric_004_split_A;chimeric_004_split_B	1613;1387
chimeric_005	3000	2692	preserve	Technical artifact (confidence: 1.00) (split contigs too short)	1.0	chimeric_005	3000
cov_chimeric_001	2000	1740	preserve	Technical artifact (confidence: 0.80) (split contigs too short)	0.8	cov_chimeric_001	2000
cov_chimeric_002	2000	194	preserve	Technical artifact (confidence: 1.00) (split contigs too short)	1.0	cov_chimeric_002	2000
cov_chimeric_003	2000	1750	preserve	Technical artifact (confidence: 1.00) (split contigs too short)	1.0	cov_chimeric_003	2000
contig_004	6551	367	preserve	Technical artifact (confidence: 0.80) (split contigs too short)	0.8	contig_004	6551
contig_013	7561	370	preserve	Technical artifact (confidence: 0.80) (split contigs too short)	0.8	contig_013	7561
